GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
350011,1734,844,890,0,0,0
350012,731,351,380,0,0,0
350013,810,462,348,0,0,0
350014,584,307,277,0,0,0
350015,570,346,224,0,0,0
350016,1049,590,459,0,0,0
350017,1083,694,389,0,0,0
350018,313,183,130,0,0,0
350019,525,335,190,0,0,0
3500110,702,408,294,0,0,0
3500111,849,610,239,0,0,0
3500112,709,486,223,0,0,0
3500113,664,413,251,0,0,0
3500114,661,431,230,0,0,0
3500115,723,434,289,0,0,0
3500116,461,292,169,0,0,0
3500117,881,564,317,0,0,0
3500118,741,499,242,0,0,0
3500119,1382,689,693,0,0,0
3500120,974,593,381,0,0,0
3500121,1438,817,621,0,0,0
3500122,785,450,335,0,0,0
3500123,985,586,399,0,0,0
3500124,1332,812,520,0,0,0
3500125,1008,551,457,0,0,0
3500126,1053,707,346,0,0,0
3500127,656,443,213,0,0,0
3500128,514,359,155,0,0,0
3500129,649,440,209,0,0,0
3500130,1292,756,536,0,0,0
3500131,519,439,80,0,0,0
3500132,682,519,163,0,0,0
3500133,866,674,192,0,0,0
3500134,421,319,102,0,0,0
3500135,410,303,107,0,0,0
3500136,559,447,112,0,0,0
3500137,875,610,265,0,0,0
3500138,828,629,199,0,0,0
3500139,833,577,256,0,0,0
3500140,598,449,149,0,0,0
3500141,819,584,235,0,0,0
3500142,531,386,145,0,0,0
3500143,980,722,258,0,0,0
3500144,831,630,201,0,0,0
3500145,448,337,111,0,0,0
3500146,714,565,149,0,0,0
3500147,237,186,51,0,0,0
3500148,684,543,141,0,0,0
3500149,733,574,159,0,0,0
3500150,949,686,263,0,0,0
3500151,575,465,110,0,0,0
3500152,1208,841,367,0,0,0
3500153,446,330,116,0,0,0
3500154,2446,1737,709,0,0,0
3500155,1605,1175,430,0,0,0
3500156,1186,849,337,0,0,0
3500157,1958,1173,785,0,0,0
3500158,194,124,70,0,0,0
3500159,1562,1143,419,0,0,0
3500160,1303,955,348,0,0,0
3500161,433,356,77,0,0,0
3500162,353,276,77,0,0,0
3500163,313,252,61,0,0,0
3500164,261,223,38,0,0,0
3500165,521,394,127,0,0,0
3500166,535,397,138,0,0,0
3500167,687,574,113,0,0,0
3500168,1081,576,505,0,0,0
3500170,1122,698,424,0,0,0
3500171,731,551,180,0,0,0
3500172,357,295,62,0,0,0
3500173,875,576,299,0,0,0
3500174,473,333,140,0,0,0
3500175,341,251,90,0,0,0
3500176,467,314,153,0,0,0
3500177,502,326,176,0,0,0
3500178,1040,597,443,0,0,0
3500179,1317,657,660,0,0,0
3500180,1333,720,613,0,0,0
3500181,991,530,461,0,0,0
3500182,1038,529,509,0,0,0
3500183,1324,769,555,0,0,0
3500184,1123,616,507,0,0,0
3500185,1747,819,928,0,0,0
3500186,606,384,222,0,0,0
3500187,1333,781,552,0,0,0
3500188,499,340,159,0,0,0
3500189,1392,758,634,0,0,0
3500190,743,543,200,0,0,0
3500191,773,476,297,0,0,0
3500192,664,393,271,0,0,0
3500193,624,519,105,0,0,0
3500194,199,160,39,0,0,0
3500195,294,256,38,0,0,0
3500196,581,370,211,0,0,0
3500197,877,548,329,0,0,0
3500198,657,479,178,0,0,0
3500199,763,510,253,0,0,0
35001101,550,473,77,0,0,0
35001102,330,287,43,0,0,0
35001103,454,375,79,0,0,0
35001104,154,130,24,0,0,0
35001105,211,190,21,0,0,0
35001106,599,522,77,0,0,0
35001107,485,405,80,0,0,0
35001108,341,162,179,0,0,0
35001109,38,21,17,0,0,0
35001110,703,396,307,0,0,0
35001111,1117,673,444,0,0,0
35001112,1187,619,568,0,0,0
35001113,689,372,317,0,0,0
35001114,1711,804,907,0,0,0
35001115,2087,1058,1029,0,0,0
