GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
50007500721,4069,3925,38,25,44,51,5,3038,2947,27,14,32,26,2,4127,3949,25,1,52,96,4,3137,3082,0,4,29,30,0,4132,3940,47,43,25,72,5,3197,3112,0,25,29,24,0
50007500719,5015,4829,72,49,13,51,0,3703,3603,44,21,10,23,0,5060,4902,53,74,26,9,0,3844,3719,50,34,20,10,0,5042,4844,84,73,35,21,0,3779,3614,75,38,30,10,0
50007500731,8704,8218,127,120,34,210,1,6568,6269,80,58,21,140,0,9531,8816,148,185,17,315,0,6984,6599,90,115,15,155,0,9696,8955,90,181,22,346,56,7139,6794,50,80,20,140,55
50005500516,1279,1249,12,10,5,5,0,979,959,10,4,5,3,0,1434,1345,42,23,6,37,30,1099,1059,25,4,4,0,0,1435,1333,40,25,7,51,41,1114,1064,25,4,4,0,0
50005500512,7603,7187,114,94,117,103,1,5959,5681,82,53,92,62,1,7299,6969,145,28,47,118,11,5815,5575,145,28,33,35,0,7227,6906,125,45,83,80,19,5765,5540,110,23,58,40,0
50005050501,1709,1648,12,21,23,8,0,1315,1278,5,7,20,5,0,1459,1398,18,30,18,0,7,1236,1191,20,4,20,0,0,1570,1506,25,22,18,0,10,1266,1211,25,4,20,0,0
50007500726,4329,3847,74,73,18,316,7,3317,2985,54,43,17,215,3,4888,4166,164,161,51,363,0,3557,3216,48,49,33,196,0,4884,4216,149,82,19,420,0,3483,3176,36,35,19,218,0
50007500728,4524,4073,89,132,38,202,1,3645,3354,66,69,23,141,1,4290,3634,305,142,58,171,0,3346,3057,151,32,41,43,0,4225,3753,196,105,66,131,0,3319,3111,40,32,41,72,0
50007500725,4533,4022,82,115,29,298,6,3646,3302,57,70,18,208,4,4658,4249,100,119,21,171,0,3878,3591,92,81,20,94,0,4691,4196,153,73,37,241,0,3628,3364,100,35,30,97,0
50005500503,2196,2141,10,10,19,14,0,1737,1705,8,4,15,3,0,2276,2175,25,31,15,30,0,1860,1805,4,20,14,15,0,2211,2084,24,32,19,52,0,1765,1700,0,20,20,25,0
